cpi,gdp,real_gdp,m1v,m2v,ff_rate,un_rate,fed_debt
260,21477,18767,100,100,0,600,27747798
258,21138,18560,100,100,0,1000,26945391
256,19477,17258,100,100,0,1400,26477241
258,21481,18951,500,100,100,300,23223813
257,21694,19202,500,100,100,300,23201380
255,21505,19112,500,100,200,300,22719402
255,21289,18982,500,100,200,300,22023283
252,21001,18833,500,100,200,400,22027880
252,20813,18721,500,100,200,300,21974096
251,20659,18679,500,100,100,300,21516058
250,20492,18590,500,100,100,400,21195070
248,20143,18436,500,100,100,400,21089643
246,19882,18296,500,100,100,400,20492747
244,19558,18126,500,100,100,400,20244900
244,19322,17996,500,100,0,400,19844554
243,19153,17896,500,100,0,400,19846420
241,18968,17812,500,100,0,400,19976827
240,18775,17724,500,100,0,400,19573445
238,18611,17618,500,100,0,500,19381591
237,18425,17565,500,100,0,400,19264939
237,18332,17462,500,100,0,500,18922179
238,18306,17437,600,100,0,500,18150618
236,18193,17380,600,100,0,500,18151998
234,17991,17280,600,100,0,500,18152056
237,17852,17141,600,100,0,500,18141444
237,17743,17064,600,100,0,600,17824071
236,17462,16868,600,100,0,600,17632606
235,17144,16654,600,100,0,600,17601227
233,17133,16712,600,100,0,700,17156119
232,16911,16594,600,100,0,700,16738180
231,16699,16464,600,100,0,700,16738320
231,16629,16441,600,100,0,800,16771381
231,16420,16300,600,100,0,700,16432730
228,16319,16282,600,100,0,800,16066240
229,16207,16253,700,100,0,800,15855037
227,16068,16179,700,100,0,800,15606518
226,15842,16048,700,100,0,800,15222940
225,15647,15870,700,100,0,900,14790340
224,15557,15876,800,100,0,900,14343087
221,15351,15769,800,100,0,900,14270114
219,15309,15807,800,100,0,900,14025215
217,15141,15726,800,100,0,900,13561622
217,14980,15605,800,100,0,900,13201792
217,14764,15456,800,100,0,900,12773123
216,14651,15379,800,100,0,1000,12311349
214,14448,15216,800,100,0,900,11909828
212,14381,15161,800,100,0,900,11545275
211,14430,15187,900,100,0,700,11126941
216,14608,15366,900,100,100,600,10699805
219,14898,15709,1000,100,200,500,10024725
213,14865,15792,1000,100,200,500,9492006
212,14706,15702,1000,100,300,500,9437594
209,14715,15767,1000,100,400,400,9229172
207,14564,15671,1000,100,500,400,9007653
205,14402,15577,1000,100,500,400,8867677
203,14215,15478,1000,100,500,400,8849665
201,14039,15433,1000,100,500,400,8680224
202,13870,15304,1000,200,500,400,8506974
200,13753,15281,900,200,500,400,8420042
199,13599,15244,900,200,400,400,8371156
199,13324,15041,900,200,300,500,8170413
194,13142,14956,900,200,300,500,7932710
193,12922,14839,900,100,200,500,7836496
191,12767,14767,900,100,100,500,7776939
190,12527,14605,900,100,100,500,7596143
189,12305,14457,900,100,100,500,7379053
187,12112,14323,900,100,100,500,7274335
186,11923,14212,900,100,0,500,7131068
184,11772,14131,900,100,100,600,6997964
183,11566,13970,800,100,100,600,6783320
183,11312,13741,800,100,100,600,6670121
182,11174,13619,900,100,100,500,6460776
181,11061,13549,900,100,100,500,6405707
180,10984,13531,900,100,100,500,6228236
179,10887,13477,900,100,100,500,6126469
177,10783,13394,900,100,100,500,6006032
177,10660,13284,900,100,300,500,5943439
177,10598,13248,900,200,300,400,5807464
176,10599,13301,900,200,500,400,5726815
175,10470,13219,900,200,500,400,5773740
173,10435,13262,900,200,600,300,5662216
172,10318,13183,900,200,600,400,5674179
170,10247,13170,900,200,600,300,5685938
169,10002,12935,800,200,300,400,5773392
